author,board_id,clicks,comment_n,content,key,likes,register_date,title
디오 intense9(inte****),299fe5f1336d41afb0ed43e4ad31130e,1997,4.0,"? ? 11번가 http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1730240673&NaPm=ct=j4th6ne8|ci=8b5704123aff6873d8bd4ddfb94e43bd516b264a|tr=slsl|sn=17703|hk=546174fa0509c493efd071a76098a80b801ce096&utm_term=&utm_campaign=-&utm_source=%B3%D7%C0%CC%B9%F6_PCS&utm_medium=%B0%A1%B0%DD%BA%F1%B1%B3 지마켓 http://item.gmarket.co.kr/DetailView/Item.asp?goodscode=937679952&GoodsSale=Y&jaehuid=200001169&NaPm=ct%3Dj4th79rs%7Cci%3D9f9cd0e96c050a14ef466bb8f0bdb3a5686c71ee%7Ctr%3Dslsl%7Csn%3D24%7Chk%3D556e51e97e1c05bda0abd46e75113e4ac1c7f815 기본 쿠폰 받고 보면 100원 차이라서..^^ 가지고 있는포인트에 따라 싸게 살 수 있을 것 같아요!!! ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",보솜이,3,2017-07-07 15:26:00,"11번가 & 지마켓 동시 !!! 보냉백 증정 !!! 26,900원 !!! 보솜이 천연코튼 썸머 1BOX"
건강이맘jji1103(nice****),53c2ada925aa45b7bec89ef200f56aac,1170,,"G마켓에서 보솜이 썸머 밴드형/팬티형 1박스 28,900원 행사중이네요~ 쿠폰이 없어서 살짝 아쉽지만 그래도 다른곳보다는 싼것같네요~ 필요하신 분들 한번 확인해보세요~ http://item.gmarket.co.kr/Item?goodscode=971258451 ● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",보솜이,2,2017-06-19 11:50:00,"<g마켓> 보솜이 썸머 28,900원"
까만콩미달이black11(alek****),9cfee275db9d4be1ab283e744ee61855,1417,12.0,"올만에 보솜이 소프트 핫딜 뜬거 같아서 공유 드려욤.. 11번가에서 긴급공수로 떴는데요.. 4+1팩 15%쿠폰 적용하니 29,670원에 구매할수 있네요~ 필요하신 분들은 쟁여두시면 좋을듯요.. 저도 조카 선물하려고 샀습니다~!ㅋ http://deal.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=720224843 ?",보솜이,2,2017-06-09 11:47:00,"11번가 보솜이 소프트 4+1팩 쿠폰가 29,670원 긴공 떴네요~"
둥실마미vinlove7942(vinl****),b770c15fe2c34d308562af17513feb62,647,,여름기저귀 장만할 때 됐는데 ㅎㅎ 비치가운 보고 솔깃했네요 20%할인 쿠폰 받으면 기저귀 2박스 5만 원 초반대로 구입 가능하구요 링크걸어드릴게요!! http://deal.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1427319941&trTypeCd=21&trCtgrNo=585021&lCtgrNo=1001344&mCtgrNo=1001501 ?,보솜이,7,2017-07-04 09:29:00,"11번가 보솜이 썸머기저귀 2박스+비치가운 증정 51,900원"
건강이맘jji1103(nice****),bd6d8cfac15b475d82b187f43d78eada,62,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? 보솜이 천연코튼/썸머 기저귀 즉시할인 쿠폰 4000원 적용된 행사 중이네요~ 저는 보리보리 적립금 1000원 있어서~ 썸머 기저귀 25900원에 구매했네요~ 다들 한번 살펴보세용~ http://www.boribori.co.kr/Detail?PrstCd=bosomi_0622&ColorCd=ZZ9 ? ? ? ? ? ? ? ? ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",보솜이,0,2017-06-23 08:57:00,보솜이 썸머/천연코튼 행사하네요~
바비 pupa32(barb****),c4e2859b201c4f7f8d1e5f41d4a2ac37,46,,"보솜이 소프트 슬림,밴드형이구요~ * 17년형 팬티형 ㅡ 대 남/여 ㅡ> 에디슨 빨대컵 부엉이(색상랜덤) * 17년형 팬티형 ㅡ 특대 남/여 ㅡ> 에디슨 빨대컵 부엉이(색상랜덤) * 17련형 밴드형 ㅡ 중형 ㅡ> 에디슨 빨대컵 부엉이(색상랜덤) * 17련형 밴드형 ㅡ 대형 ㅡ> 에디슨 빨대컵 부엉이(색상랜덤) * 17련형 밴드형 ㅡ 특대형 ㅡ> 에디슨 빨대컵 부엉이(색상랜덤) * (구) 팬티형 ㅡ 대 남 ㅡ> 에디슨 빨대컵 부엉이(색상랜덤) ㅡㅡㅡ 보솜이 링크 ㅡㅡㅡ http://m.11st.co.kr/MW/Product/productBasicInfo.tmall?prdNo=390752154 ㅡㅡㅡ애일 반하는 쿠폰 링크 ㅡㅡㅡ http://m.11st.co.kr/MW/Product/productPlanningDetail.tmall?preview=Y&plnDispNo=931084",보솜이,1,2017-06-23 00:55:00,11번가 보솜이 소프트 슬림 4팩+사은품 부엉이 빨대컵
땅콩 KU42388(kjy2****),df5f8456d63d40208ab33a5049f74828,290,,"● ?초대/소셜커머스 사이트?-?링크를 통해 적립금/크레딧 발생하는 게시물은 어떠한 경우에도 작성하실 수 없습니다. ? ??(퀸시, 지구인 등?포함 모든??초대링크 일절 금지, 작성 시 7일 활동 정지. 지속적 게시할 경우 강퇴처리) ???? 또한 적립금 미포함 상태에서의 핫딜만 게시 가능합니다. ● ?중복게시글은 삭제됩니다. ● 금전적 이득을 취하는 행위 및 광고/홍보 행위는 허용하지 않습니다. ? ? ? ? ? ? ? ? 보솜이 천연코튼 기저귀 4팩 행사에요~~ 밴드형은 공용, 팬티형은 남아/여야 ㅎㅎ 다 4팩이구요~~ 밴드형은 141원까지 떨어지네요 ㅎㅎ http://www.wemakeprice.com/deal/adeal/2265839/100700/?source=100700&no=11 ? ? ? ▣ 몰스에서는 서로에게 최소한의 예의를 지켜야하며, 광고, 악성덧글, 상처를 줄수 있는 덧글, 비방글, 확인되지 않은?마녀사냥이 될수 있는 글은??바로 활동정지 및 강퇴됩니다.",보솜이,3,2017-06-26 09:44:00,"보솜이 천연코튼 기저귀 4팩 33,900원 (장당 141원~)"
화아아닝rlawkgo(rlaw****),ff6aa8317a384b1a8ed42bd8e8c2fa69,2519,31.0,"보솜이 썸머팬티 3팩에 26,270원이네요~ 사은품으로 보냉가방도 주네요 ㅋ 날씨 더워져서 썸머팬티 찾고 있었는데 득템한 기분이에용ㅋ 15%쿠폰 다운 받으셔서 구매하세용~~ 15프로 쿠폰은 아래 링크용 http://m.11st.co.kr/MW/Product/productPlanningDetail.tmall?plnDispNo=929202 http://m.11st.co.kr/MW/Product/productBasicInfo.tmall?prdNo=1427319941",보솜이,6,2017-06-16 08:19:00,"보솜이 썸머팬티 1박스 26,270원이용~~"
